Platform,Package Name,Client Version,Latest Stable Version,Is on N-1 version,N-1 Version,N-1 Vulnerabilities,N-2 Version,N-2 Vulnerabilities,N-3 Version,N-3 Vulnerabilities
npm,postcss-double-position-gradients,3.1.2,6.0.0,No,5.0.7,No violations,5.0.6,No violations,5.0.5,No violations
npm,istanbul-lib-report,3.0.0,3.0.1,Yes,3.0.0,No violations,2.0.8,No violations,2.0.7,No violations
npm,babel-plugin-polyfill-corejs3,0.6.0,0.10.6,No,0.10.4,No violations,0.10.3,No violations,0.10.2,No violations
npm,@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression,7.18.6,7.25.0,No,7.24.7,No violations,7.24.6,No violations,7.24.1,No violations
npm,@typescript-eslint/experimental-utils,5.45.1,5.62.0,No,5.61.0,No violations,5.60.1,No violations,5.60.0,No violations
npm,object-hash,3.0.0,3.0.0,No,2.2.0,No violations,2.1.1,No violations,2.1.0,No violations
npm,batch,0.6.1,0.6.1,No,0.6.0,a Appear maintained violation is present - Standard: packages_appear_maintained,0.5.3,a Appear maintained violation is present - Standard: packages_appear_maintained,0.5.2,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,unique-string,2.0.0,3.0.0,Yes,2.0.0,No violations,1.0.0,No violations,,
npm,postcss-place,7.0.5,10.0.0,No,9.0.1,No violations,9.0.0,No violations,8.0.1,No violations
npm,connect-history-api-fallback,2.0.0,2.0.0,No,1.6.0,No violations,1.5.0,No violations,1.4.0,No violations
npm,is-path-inside,3.0.3,4.0.0,Yes,3.0.3,No violations,3.0.2,No violations,3.0.1,No violations
npm,eslint-scope,7.1.1,8.1.0,No,8.0.2,No violations,8.0.1,No violations,8.0.0,No violations
npm,postcss-custom-selectors,6.0.3,8.0.1,No,8.0.0,No violations,7.1.12,No violations,7.1.11,No violations
npm,identity-obj-proxy,3.0.0,3.0.0,No,2.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained,1.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained,,
npm,css-minimizer-webpack-plugin,3.4.1,7.0.0,No,6.0.0,No violations,5.0.1,No violations,5.0.0,No violations
npm,cosmiconfig,6.0.0,9.0.0,No,8.3.6,No violations,8.3.5,No violations,8.3.4,No violations
npm,selfsigned,2.1.1,2.4.1,No,2.4.0,No violations,2.3.0,No violations,2.2.0,No violations
npm,postcss,7.0.39,8.4.47,No,8.4.46,No violations,8.4.45,No violations,8.4.44,No violations
npm,@csstools/postcss-ic-unit,1.0.1,4.0.0,No,3.0.7,No violations,3.0.6,No violations,3.0.5,No violations
npm,@humanwhocodes/object-schema,1.2.1,2.0.3,No,2.0.2,a Appear maintained violation is present - Standard: packages_appear_maintained,2.0.1,a Appear maintained violation is present - Standard: packages_appear_maintained,2.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,jest-util,28.1.3,29.7.0,No,29.6.3,No violations,29.6.2,No violations,29.6.1,No violations
npm,jest-regex-util,27.5.1,29.6.3,No,29.4.3,No violations,29.4.2,No violations,29.2.0,No violations
npm,pascal-case,3.1.2,4.0.0,Yes,3.1.2,package npm/pascal-case was deprecated - Standard: deprecation,3.1.1,package npm/pascal-case was deprecated - Standard: deprecation,3.1.0,package npm/pascal-case was deprecated - Standard: deprecation
npm,@types/babel__traverse,7.18.3,7.20.6,No,7.20.5,No violations,7.20.4,No violations,7.20.3,No violations
npm,emittery,0.8.1,1.0.3,No,1.0.2,No violations,1.0.1,No violations,1.0.0,No violations
