Platform,Package Name,Client Version,Latest Stable Version,Is on N-1 version,N-1 Version,N-1 Vulnerabilities,N-2 Version,N-2 Vulnerabilities,N-3 Version,N-3 Vulnerabilities
npm,xdg-basedir,3.0.0,5.1.0,No,5.0.1,No violations,5.0.0,No violations,4.0.0,No violations
npm,widest-line,2.0.0,4.0.1,No,4.0.0,No violations,3.1.0,No violations,3.0.0,No violations
npm,strip-ansi,0.3.0,7.1.0,No,7.0.1,No violations,7.0.0,No violations,6.0.1,No violations
rubygems,liquid,4.0.3,5.5.1,No,5.5.0,No violations,5.4.0,No violations,5.3.0,No violations
npm,arr-union,3.1.0,3.1.0,No,3.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained,2.1.0,a Appear maintained violation is present - Standard: packages_appear_maintained,2.0.1,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,isexe,2.0.0,3.1.1,No,3.1.0,No violations,3.0.0,No violations,2.0.0,No violations
npm,uniq,1.0.1,1.0.1,No,1.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained,0.0.2,a Appear maintained violation is present - Standard: packages_appear_maintained,0.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,imurmurhash,0.1.4,0.1.4,No,0.1.3,No violations,0.1.2,No violations,0.1.1,No violations
npm,micromatch,2.3.11,4.0.8,No,4.0.7,No violations,4.0.6,No violations,4.0.5,No violations
npm,is-accessor-descriptor,1.0.0,3.0.5,No,3.0.4,No violations,3.0.3,No violations,3.0.2,No violations
npm,balanced-match,1.0.0,3.0.1,No,3.0.0,No violations,2.0.0,No violations,1.0.2,No violations
npm,unique-slug,2.0.2,5.0.0,No,4.0.0,No violations,3.0.0,No violations,2.0.2,No violations
npm,cli-table,0.3.1,0.3.11,No,0.3.10,a Appear maintained violation is present - Standard: packages_appear_maintained,0.3.9,a Appear maintained violation is present - Standard: packages_appear_maintained,0.3.8,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,is-binary-path,1.0.1,3.0.0,No,2.1.0,No violations,2.0.1,No violations,2.0.0,release npm/is-binary-path 2.0.0 is older than the maintenance standard allows - Standard: up_to_date
npm,color-convert,1.9.2,2.0.1,No,2.0.0,No violations,1.9.3,No violations,1.9.2,No violations
npm,glob,7.1.6,11.0.0,No,10.4.5,No violations,10.4.4,No violations,10.4.3,No violations
npm,object-assign,3.0.0,4.1.1,No,4.1.0,No violations,4.0.1,No violations,4.0.0,No violations
npm,convert-source-map,1.9.0,2.0.0,Yes,1.9.0,No violations,1.8.0,No violations,1.7.0,No violations
npm,which-module,2.0.0,2.0.1,Yes,2.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained,1.0.0,a Appear maintained violation is present - Standard: packages_appear_maintained,,
npm,flat-cache,1.3.0,6.1.0,No,6.0.0,No violations,5.0.0,No violations,4.0.1,No violations
npm,tunnel-agent,0.6.0,0.6.0,No,0.5.0,a Appear maintained violation is present - Standard: packages_appear_maintained,0.4.3,a Appear maintained violation is present - Standard: packages_appear_maintained,0.4.2,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,are-we-there-yet,2.0.0,4.0.2,No,4.0.1,package npm/are-we-there-yet was deprecated - Standard: deprecation; package npm/are-we-there-yet has reached its end-of-life - Standard: eol_packages; a Appear maintained violation is present - Standard: packages_appear_maintained,4.0.0,package npm/are-we-there-yet was deprecated - Standard: deprecation; package npm/are-we-there-yet has reached its end-of-life - Standard: eol_packages; a Appear maintained violation is present - Standard: packages_appear_maintained,3.0.1,package npm/are-we-there-yet was deprecated - Standard: deprecation; package npm/are-we-there-yet has reached its end-of-life - Standard: eol_packages; a Appear maintained violation is present - Standard: packages_appear_maintained
npm,prelude-ls,1.1.2,1.2.1,No,1.2.0,a Appear maintained violation is present - Standard: packages_appear_maintained,1.1.2,a Appear maintained violation is present - Standard: packages_appear_maintained,1.1.1,a Appear maintained violation is present - Standard: packages_appear_maintained
npm,uuid,1.4.2,11.0.0-0,No,10.0.0,No violations,9.0.1,No violations,9.0.0,No violations
rubygems,safe_yaml,1.0.5,1.0.5,No,1.0.4,a Appear maintained violation is present - Standard: packages_appear_maintained,1.0.3,a Appear maintained violation is present - Standard: packages_appear_maintained,1.0.2,a Appear maintained violation is present - Standard: packages_appear_maintained
rubygems,google-cloud-storage,1.31.1,1.52.0,No,1.51.0,No violations,1.50.0,No violations,1.49.0,No violations
rubygems,faraday-multipart,1.0.4,1.0.4,No,1.0.3,No violations,1.0.2,No violations,1.0.1,No violations
rubygems,aws-sdk-marketplacemetering,1.40.0,1.69.0,No,1.68.0,No violations,1.67.0,No violations,1.66.0,No violations
maven,org.mockito:mockito-core,3.11.2,5.13.0,No,5.12.0,No violations,5.11.0,No violations,5.10.0,No violations
maven,org.apache.httpcomponents:httpclient,4.5.13,4.5.14,Yes,4.5.13,package maven/org.apache.httpcomponents:httpclient has reached its end-of-life - Standard: eol_packages,4.5.12,vulnerability CVE-2020-13956 with severity 5.3 is present - Standard: vulnerabilities; package maven/org.apache.httpcomponents:httpclient has reached its end-of-life - Standard: eol_packages,4.5.11,vulnerability CVE-2020-13956 with severity 5.3 is present - Standard: vulnerabilities; package maven/org.apache.httpcomponents:httpclient has reached its end-of-life - Standard: eol_packages
